CustomerID,gender,Senior Citizen,Partner,Dependents,tenure,PhoneService,MultpleLines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,customerID,SeniorCitizen,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
7590-VHVEG,Female,0.0,1,0,1,0,,DSL,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,1.0,Electronic check,29.8500003814697,29.8500003814697,0.0,,,,,,,,,,,,,,
5575-GNVDE,Male,0.0,0,0,34,1,0.0,DSL,1.0,0.0,1.0,0.0,0.0,0.0,One year,0.0,Mailed check,56.9500007629395,1889.5,0.0,,,,,,,,,,,,,,
3668-QPYBK,Male,0.0,0,0,2,1,0.0,DSL,1.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,1.0,Mailed check,53.8499984741211,108.150001525879,1.0,,,,,,,,,,,,,,
7795-CFOCW,Male,0.0,0,0,45,0,,DSL,1.0,0.0,1.0,1.0,0.0,0.0,One year,0.0,Bank transfer (automatic),42.2999992370605,1840.75,0.0,,,,,,,,,,,,,,
9237-HQITU,Female,0.0,0,0,2,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1.0,Electronic check,70.6999969482422,151.649993896484,1.0,,,,,,,,,,,,,,
9305-CDSKC,Female,0.0,0,0,8,1,1.0,Fiber optic,0.0,0.0,1.0,0.0,1.0,1.0,Month-to-month,1.0,Electronic check,99.6500015258789,820.5,1.0,,,,,,,,,,,,,,
1452-KIOVK,Male,0.0,0,1,22,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,1.0,0.0,Month-to-month,1.0,Credit card (automatic),89.0999984741211,1949.40002441406,0.0,,,,,,,,,,,,,,
6713-OKOMC,Female,0.0,0,0,10,0,,DSL,1.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0.0,Mailed check,29.75,301.899993896484,0.0,,,,,,,,,,,,,,
7892-POOKP,Female,0.0,1,0,28,1,1.0,Fiber optic,0.0,0.0,1.0,1.0,1.0,1.0,Month-to-month,1.0,Electronic check,104.800003051758,3046.05004882813,1.0,,,,,,,,,,,,,,
6388-TABGU,Male,0.0,0,1,62,1,0.0,DSL,1.0,1.0,0.0,0.0,0.0,0.0,One year,0.0,Bank transfer (automatic),56.1500015258789,3487.94995117188,0.0,,,,,,,,,,,,,,
9763-GRSKD,Male,0.0,1,1,13,1,0.0,DSL,1.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1.0,Mailed check,49.9500007629395,587.450012207031,0.0,,,,,,,,,,,,,,
7469-LKBCI,Male,0.0,0,0,16,1,0.0,No,,,,,,,Two year,0.0,Credit card (automatic),18.9500007629395,326.799987792969,0.0,,,,,,,,,,,,,,
8091-TTVAX,Male,0.0,1,0,58,1,1.0,Fiber optic,0.0,0.0,1.0,0.0,1.0,1.0,One year,0.0,Credit card (automatic),100.349998474121,5681.10009765625,0.0,,,,,,,,,,,,,,
0280-XJGEX,Male,0.0,0,0,49,1,1.0,Fiber optic,0.0,1.0,1.0,0.0,1.0,1.0,Month-to-month,1.0,Bank transfer (automatic),103.699996948242,5036.2998046875,1.0,,,,,,,,,,,,,,
5129-JLPIS,Male,0.0,0,0,25,1,0.0,Fiber optic,1.0,0.0,1.0,1.0,1.0,1.0,Month-to-month,1.0,Electronic check,105.5,2686.05004882813,0.0,,,,,,,,,,,,,,
